,sector,sectorWeight,symbol,name,weight,correlation,pca,beta
0,Energy,27.55,XOM,EXXON MOBIL CORP,9.77,0.7087682716075661,,1.336678708249481
1,Energy,27.55,CVX,CHEVRON CORP,6.31,0.7090958101083858,,1.289163316496739
2,Energy,27.55,PXD,PIONEER NATURAL RESOURCE,3.19,0.6415158260892093,2.0,1.4537586302488037
3,Energy,27.55,DVN,DEVON ENERGY CORP,2.35,0.6307621858412692,0.0,1.8544117457127312
4,Health Care,22.020000000000003,ABBV,ABBVIE INC,5.04,0.5755042726012336,6.0,0.7185634074771324
5,Health Care,22.020000000000003,PFE,PFIZER INC,4.48,0.5950028439601831,11.0,0.855593853636827
6,Health Care,22.020000000000003,MRK,MERCK & CO INC,3.85,0.49526905404855565,5.0,0.55718648299526
7,Health Care,22.020000000000003,BMY,BRISTOL MYERS SQUIBB,2.39,0.40863452847441656,7.0,0.47550099302641385
8,Health Care,22.020000000000003,MDT,MEDTRONIC PLC,2.18,0.6340523671401727,,0.906281040243945
9,Health Care,22.020000000000003,AMGN,AMGEN INC,2.1,0.5130360009083079,,0.6050327302349288
10,Information Technology,11.33,AVGO,BROADCOM INC,4.33,0.7672430695304117,,1.443968869325742
11,Information Technology,11.33,CSCO,CISCO SYSTEMS INC,3.58,0.7538729890716053,,1.0034536945382382
12,Information Technology,11.33,IBM,INTERNATIONAL BUSINESS MACHINES CO,3.09,0.65449744121364,,0.8235772825235279
13,Communication,10.03,VZ,VERIZON COMMUNICATIONS INC,6.73,0.5190945773402111,10.0,0.6743597444517578
14,Communication,10.03,CMCSA,COMCAST CORP CLASS A,3.15,0.6086158371936077,4.0,1.0777505106349634
15,Consumer Staples,9.72,PM,PHILIP MORRIS INTERNATIONAL INC,4.57,0.6947074272770836,,0.8519789852532558
16,Consumer Staples,9.72,KO,COCA-COLA,3.72,0.7256290446559792,,0.7146061343932028
17,Utilities,8.799999999999999,DUK,DUKE ENERGY CORP,1.79,0.6542891253585801,9.0,0.8400418323177745
18,Utilities,8.799999999999999,SO,SOUTHERN,1.62,0.6717568636727314,8.0,0.9040898783800906
19,Industrials,4.54,UPS,UNITED PARCEL SERVICE INC CLASS B,2.6,0.7103677793994977,12.0,1.082824915250222
20,Industrials,4.54,MMM,3M,1.68,0.6201018548867354,3.0,1.0384810902857284
21,Financials,3.4399999999999995,BX,BLACKSTONE INC,1.73,0.6885127525938457,1.0,1.957599548952526
